target_item,peer_rank,peer_itemId,covariance
1562.0,1,153,0.5769950117646633
1562.0,2,4310,0.4965205311489096
1562.0,3,2701,0.4665984987780218
1562.0,4,1882,0.4638858734378845
1562.0,5,1917,0.457558241561896
1562.0,6,1831,0.4540105771431971
1562.0,7,4367,0.4378445828410474
1562.0,8,4270,0.4342087123634126
1562.0,9,786,0.4334831873409204
1562.0,10,1479,0.4263811957314592
2701.0,1,1831,0.4866403443996143
2701.0,2,1882,0.482641771604304
2701.0,3,673,0.4817285874352541
2701.0,4,1917,0.4674163608095657
2701.0,5,1562,0.4665984987780218
2701.0,6,4310,0.4647195049459007
2701.0,7,4270,0.460244468836222
2701.0,8,173,0.4582709538280561
2701.0,9,4367,0.4505263157894737
2701.0,10,420,0.4473193201099356
