userId,movieId,true_rating
55765,1240,5.0
55765,2329,3.0
55765,2021,3.0
55765,1729,4.0
55765,1777,4.0
55765,4223,4.0
55765,1784,4.5
55765,480,4.0
55765,8961,5.0
55765,596,4.0
55765,2336,4.0
55765,2002,3.0
55765,708,4.0
55765,1073,3.0
55765,5418,5.0
55765,1569,3.0
55765,1213,4.0
55765,1302,4.0
55765,1376,3.0
55765,2100,5.0
55765,3948,4.0
55765,2949,4.0
55765,555,4.0
55765,46578,3.5
55765,4973,4.0
55765,1644,3.0
55765,1097,4.0
55765,4246,4.5
55765,2804,5.0
55765,1222,4.0
55765,5266,3.5
55765,2683,3.0
55765,5218,4.0
55765,4002,4.0
55765,6218,4.5
55765,2580,4.0
55765,1747,3.0
55765,595,4.0
55765,5459,3.0
55765,2657,3.0
55765,58559,5.0
55765,780,3.0
55765,8784,4.5
55765,3793,4.5
55765,5956,5.0
55765,474,4.0
55765,153,3.0
55765,4896,5.0
55765,485,3.0
55765,1129,2.0
55765,1479,3.0
55765,1287,4.0
55765,1210,3.0
55765,2916,4.5
55765,1343,3.0
55765,353,3.0
55765,3717,3.0
55765,1639,4.0
55765,3256,3.0
55765,1562,2.0
55765,1994,4.0
55765,1625,4.0
55765,4370,2.0
55765,95,3.5
55765,260,4.5
55765,364,4.0
55765,111,5.0
55765,2712,2.0
55765,1805,4.0
55765,593,5.0
55765,1597,3.0
55765,2001,4.0
55765,3039,4.0
55765,54286,4.5
55765,4995,4.0
55765,2763,4.0
55765,2115,4.0
55765,21,4.5
55765,2640,4.0
55765,48394,5.0
55765,3785,3.5
55765,440,4.0
55765,1266,5.0
55765,1676,3.0
55765,4344,4.0
55765,3448,4.0
55765,55820,4.0
55765,1663,4.0
55765,2746,3.0
55765,4085,4.0
55765,3147,4.0
55765,527,5.0
55765,1090,5.0
55765,3489,4.0
55765,1252,5.0
55765,1258,5.0
55765,6874,4.0
55765,4369,2.5
55765,3552,3.0
55765,5816,4.5
55765,1371,2.0
55765,2109,4.0
55765,2248,5.0
55765,3253,3.0
55765,2671,4.5
55765,8360,4.0
55765,2985,4.0
55765,2420,3.0
55765,56367,4.0
55765,4993,5.0
55765,1997,5.0
55765,1234,4.0
55765,736,3.0
55765,1219,4.0
55765,1674,5.0
55765,33794,4.5
55765,1380,3.0
55765,5481,3.0
55765,3499,4.0
55765,48780,4.0
55765,3408,4.0
55765,1954,4.0
55765,2571,5.0
55765,1233,4.5
55765,253,3.0
55765,2791,3.0
55765,784,3.0
55765,1259,4.5
55765,1748,3.0
55765,3020,3.0
55765,2628,3.0
55765,2997,4.0
55765,48774,4.0
55765,1690,4.0
55765,2572,4.0
55765,6365,4.0
55765,8361,3.5
55765,110,4.0
55765,904,5.0
55765,4571,2.0
55765,2502,4.0
55765,5378,4.0
55765,4874,2.5
55765,357,4.0
55765,902,4.0
55765,1079,4.0
55765,2470,3.0
55765,2160,3.5
55765,1953,4.0
55765,349,4.0
55765,2268,4.0
55765,3101,4.0
55765,2167,3.0
55765,2193,4.0
55765,592,4.0
55765,2490,3.0
55765,104,3.5
55765,2947,4.0
55765,778,4.0
55765,1374,4.0
55765,288,4.0
55765,7438,3.5
55765,3418,4.0
55765,3082,3.0
55765,30793,3.5
55765,4148,4.0
55765,2427,3.5
55765,1573,4.5
55765,6870,5.0
55765,5464,5.0
55765,3535,4.0
55765,1917,3.0
55765,6373,4.5
55765,48516,5.0
55765,4816,3.5
55765,329,3.0
55765,1120,3.5
55765,5388,3.0
55765,8798,4.0
55765,3527,4.0
55765,2321,4.0
55765,1293,4.0
55765,2150,3.5
55765,2353,4.0
55765,2058,4.0
55765,3252,4.0
55765,1608,4.5
55765,3996,5.0
55765,6863,4.0
55765,1278,3.0
55765,457,4.0
55765,266,3.0
55765,3897,5.0
55765,32587,3.5
55765,356,5.0
55765,8636,5.0
55765,2539,4.0
55765,1080,3.0
55765,1304,4.5
55765,172,3.0
55765,1370,4.5
55765,1408,4.0
55765,1230,5.0
55765,1288,3.0
55765,1136,3.0
55765,6378,4.5
55765,454,4.0
55765,924,3.0
55765,30707,5.0
55765,2011,4.5
55765,165,4.5
55765,410,3.0
55765,2003,4.0
55765,7147,3.0
55765,1584,3.0
55765,337,3.0
55765,2761,4.0
55765,508,5.0
55765,339,4.0
55765,3698,4.0
55765,3363,3.0
55765,745,4.0
55765,1923,4.0
55765,2710,4.0
55765,1094,5.0
55765,2918,3.0
55765,2407,4.0
55765,2723,3.0
55765,1610,3.0
55765,3174,3.0
55765,5679,5.0
55765,1263,5.0
55765,1246,4.0
55765,786,4.0
55765,920,5.0
55765,3994,5.0
55765,1,4.0
55765,3052,2.0
55765,2273,3.0
55765,25,5.0
55765,586,3.5
55765,2396,4.0
55765,296,4.5
55765,1221,5.0
55765,588,4.0
55765,70,4.0
55765,3108,4.0
55765,1089,4.5
55765,1127,4.5
55765,5991,4.0
55765,2194,3.0
55765,5299,4.0
55765,2144,3.0
55765,2890,4.0
55765,3578,5.0
55765,1333,4.0
55765,1909,5.0
55765,953,5.0
55765,1345,4.5
55765,4239,4.0
55765,44191,4.0
55765,5445,4.0
55765,3949,4.5
55765,11,4.0
55765,2161,3.0
55765,5989,4.5
55765,919,5.0
55765,2000,4.0
55765,377,4.0
55765,2701,2.0
55765,2455,3.0
55765,5669,4.0
55765,34048,4.5
55765,2378,3.0
55765,40815,5.0
55765,8368,5.0
55765,50,5.0
