userId,NumRatingsUser,UserRatingPct,UserGroup
11,195,0.006245834108724277,cold
24,261,0.008359808730138647,cold
54,314,0.0100573944109714,cold
58,361,0.011562800580766483,cold
91,401,0.012843997321017615,cold
96,176,0.005637265657104988,cold
104,221,0.007078611989887514,cold
116,391,0.012523698135954832,cold
131,219,0.007014552152874958,cold
134,244,0.007815300115531916,cold
156,411,0.013164296506080399,cold
208,365,0.011690920254791596,cold
220,217,0.006950492315862401,cold
245,178,0.005701325494117546,cold
247,293,0.009384766122339554,cold
251,205,0.0065661332937870616,cold
258,193,0.00618177427171172,cold
271,271,0.008680107915201431,cold
278,237,0.007591090685987968,cold
294,457,0.014637672757369203,cold
298,340,0.010890172292134636,cold
309,178,0.005701325494117546,cold
318,155,0.0049646373684731435,cold
347,328,0.010505813270059297,cold
348,136,0.004356068916853855,cold
359,375,0.012011219439854379,cold
367,360,0.011530770662260204,cold
370,186,0.0059575648421677715,cold
375,186,0.0059575648421677715,cold
387,181,0.00579741524963638,cold
388,360,0.011530770662260204,cold
394,316,0.010121454247983957,cold
413,291,0.009320706285326998,cold
421,293,0.009384766122339554,cold
422,218,0.006982522234368679,cold
424,277,0.008872287426239103,cold
430,270,0.008648077996695152,cold
457,313,0.010025364492465121,cold
469,220,0.007046582071381237,cold
471,261,0.008359808730138647,cold
489,214,0.006854402560343566,cold
520,146,0.0046763681019166385,cold
554,205,0.0065661332937870616,cold
572,328,0.010505813270059297,cold
578,284,0.00909649685578305,cold
586,452,0.014477523164837811,cold
587,367,0.011754980091804153,cold
609,255,0.008167629219100978,cold
610,199,0.00637395378274939,cold
614,369,0.01181903992881671,cold
631,215,0.006886432478849845,cold
632,352,0.011274531314209977,cold
637,289,0.009256646448314441,cold
648,381,0.01220339895089205,cold
663,191,0.006117714434699164,cold
664,179,0.005733355412623824,cold
702,313,0.010025364492465121,cold
710,268,0.008584018159682596,cold
717,323,0.010345663677527905,cold
729,269,0.008616048078188875,cold
739,213,0.006822372641837287,cold
741,453,0.01450955308334409,cold
744,325,0.010409723514540462,cold
768,430,0.01377286495769969,cold
