userId,target_item,peer_item,rating
8405,1562.0,153,2.0
8405,1562.0,4310,1.5
8405,1562.0,2701,1.5
8405,1562.0,1882,1.0
8405,1562.0,1917,2.0
8405,2701.0,1831,2.0
8405,2701.0,1882,1.0
8405,2701.0,673,2.0
8405,2701.0,1917,2.0
8405,2701.0,1562,1.5
118205,1562.0,153,3.0
118205,1562.0,4310,3.0
118205,1562.0,2701,2.0
118205,1562.0,1882,3.0
118205,1562.0,1917,3.0
118205,2701.0,1831,3.5
118205,2701.0,1882,3.0
118205,2701.0,673,3.0
118205,2701.0,1917,3.0
118205,2701.0,1562,3.0
88604,1562.0,153,2.5
88604,1562.0,4310,2.5
88604,1562.0,2701,2.0
88604,1562.0,1882,2.0
88604,1562.0,1917,2.5
88604,2701.0,1831,2.5
88604,2701.0,1882,2.0
88604,2701.0,673,2.5
88604,2701.0,1917,2.5
88604,2701.0,1562,2.0
