userId,x,y,activity
11,-92.97768323594272,6.216909379530138,195
24,-88.08328080527868,2.6619709709030848,261
54,-89.93376518155776,4.381876792079843,314
58,-95.87228957328342,-1.0439565974783231,361
91,-84.81581298697056,0.9668022253253638,401
96,-86.07872921540564,0.6720873643013471,176
104,-79.99876820005166,1.28961206161529,221
116,-75.00189654675602,-4.89435384146364,391
131,-76.29675912442553,-2.3940255017084024,219
134,-85.08240657920165,-0.8724187931440988,244
156,-97.60030642704636,7.325867741864035,411
208,-85.98337834502972,-2.2109520441835024,365
220,-89.19090038026589,-0.3787457180817324,217
245,-89.49359943416677,-1.3704520914604328,178
247,-87.99648404454528,3.655216688326618,293
251,-90.62092586507478,5.791275114345684,205
258,-85.88609424752755,3.2092623536082154,193
271,-81.57636221112523,-0.7991685315233615,271
278,-86.00581352718334,-1.639622272939705,237
294,-84.88502775108051,2.108053407064258,457
298,-87.49200196713107,5.9061560028395625,340
309,-88.07302013357356,1.465095642011499,178
318,-84.7334358040321,-1.1387754909153278,155
347,-87.07112461827762,-2.534909794535717,328
348,-88.57223015312702,-0.8979342353156243,136
359,-89.70917524407109,1.3094687772170928,375
367,-83.46778467549177,-1.5454269583796332,360
370,-90.2208166787319,0.5995650201418462,186
375,-90.39959640793909,-1.9980294019930671,186
387,-89.68206283731911,-1.1603312555193803,181
388,-73.55039376266001,-6.465482226544888,360
394,-89.70244953033573,-3.9276446122471578,316
413,-83.58021356875514,-3.179137155110741,291
421,-85.2757247524227,1.769503302057312,293
422,-84.42817731116652,4.3377367161495926,218
424,-84.38543617147164,5.7907762924168775,277
430,-87.12090339743186,0.3980856277945976,270
457,-84.00045431008718,-3.64561848192178,313
469,-82.46720839369642,-6.011388818292763,220
471,-85.89661560996392,2.261748388724401,261
489,-87.19747040700642,0.9786500551962468,214
520,-91.28168342057262,6.078457996946352,146
554,-88.84017617560545,-0.2257711623886584,205
572,-89.47498510758813,6.279857762981484,328
578,-87.3838066201153,3.7111496674569056,284
586,-85.45833848147323,-0.6949863712497376,452
587,-87.27158796792526,0.0655870069103406,367
609,-84.0394806138862,-5.731484755376635,255
610,-86.45680332473192,1.7981447372870558,199
614,-83.33973136543902,0.4613369866463582,369
631,-85.99273470504872,1.0860201036527375,215
632,-81.42541417098822,-1.5981152260563265,352
637,-83.63880800441083,0.0974951817336291,289
648,-87.84463453140535,-1.2774277093588922,381
663,-86.32302226288573,-0.6024391759329389,191
664,-93.56818535538991,1.0673218584580977,179
702,-80.20158035074454,-2.9261387831884544,313
710,-90.64870897834024,-3.601731217601124,268
717,-86.06701307313622,1.927618843523844,323
729,-82.97250391554607,-0.7060847285917866,269
739,-91.3685164998463,1.6454766711973048,213
741,-94.38342757985316,-7.078861135842529,453
744,-88.53663330605713,6.272360235490145,325
768,-87.39045983343821,1.272712334485534,430
775,-92.07940960855773,-3.089018985470032,530
777,-88.53042788024167,-2.026284027105011,293
802,-92.37757576110512,2.9859336061887567,262
812,-80.26337633339494,0.7591110319027725,414
843,-85.49697414667604,0.5931915644638072,79
847,-89.98043076021966,-2.2523875974136884,259
856,-89.37748247207838,2.297433705850105,163
872,-88.49084117226994,2.6254870861346853,246
892,-88.28311164547831,2.5903266544817747,249
903,-83.64204120850619,-1.7892389040003065,479
910,-92.14491490982346,3.0679988473791746,309
935,-80.24431342085146,-0.58490165381591,328
955,-82.12645201596152,-2.505339198705745,319
969,-86.22993238298832,-0.4215014691561917,193
970,-87.96535932250036,0.9550001211210511,246
971,-86.58850667027133,-3.441445432559472,448
982,-82.61385550059154,-3.270108783168665,548
1001,-83.44782141129022,0.1985865441771153,284
1011,-87.23501163847737,-0.2313315439729036,328
1048,-86.9541782917529,1.2894147053470306,242
1052,-85.50034753236207,-0.5821496076798411,192
1057,-88.24341027561398,3.763313137340833,218
1068,-94.55134960346368,8.554769023717645,300
1085,-93.58105175688716,4.369264448906105,200
1093,-89.10551788339959,1.8222203565339117,280
1095,-89.18271911443118,-1.3720604035163293,222
1113,-86.47296549595181,-0.1584157822427454,108
1135,-89.31486891192715,-0.0257753402026954,219
1140,-86.73538678552225,-0.1575803715455576,145
1141,-87.28281035680506,1.3685542798881027,185
1154,-82.8361867475149,-3.041124228417077,201
1155,-84.62512640337036,-1.2051008663370306,282
1165,-85.08735599547511,-1.9618642632931145,336
1175,-84.97864214336053,0.7275222771601517,216
1185,-90.32024398074786,2.416372939311567,355
1190,-91.17710936693194,4.128052062936985,249
1191,-85.59552524092328,0.9255930016726192,116
1200,-92.01142312302864,-0.8057366746427931,430
1222,-90.51462798005744,0.8346620533922706,346
1244,-91.14913254027586,5.273311729505446,347
1270,-92.85980240453436,5.989856520008124,230
1288,-88.03309747510743,4.759037036504415,195
1296,-89.97156272779422,-1.093184857671103,317
1309,-86.9402426228462,-0.8737401974195097,232
1323,-90.29743220070556,2.005165689495772,293
1334,-89.5160587459142,3.6086428322838686,246
1339,-88.8115107772155,2.597829698562402,221
1350,-87.33650005073918,4.0145196041705855,258
1372,-92.86697542588742,4.564832493777849,267
1378,-90.11286010204306,0.187758890414109,243
1411,-90.799797863321,-3.141268795717652,427
1419,-91.89649412227762,4.523555591033861,379
1421,-76.26638916818284,-5.293773714430762,380
1433,-86.78746362924926,0.4776109440457451,142
1446,-81.63394927847938,1.2925473829022929,171
1453,-87.1789174364192,-1.8832347129707183,223
1494,-84.25487079905382,-0.9264178018543856,274
1507,-83.53267049031533,-1.7167338651752428,514
1515,-86.24451154520963,-2.342782263424284,220
1516,-72.732358172816,-2.5863132337982644,395
1523,-85.50161762145851,-2.585387256404731,235
1548,-86.42703911259827,1.258051188419964,192
1560,-83.47052752249907,-2.0210276427523137,324
1566,-84.29141720679033,-0.3128688484136765,208
1568,-82.41782957140573,-0.2986105002860285,193
1571,-75.02853353158335,-6.354342992862455,292
1588,-86.5885321101471,4.371810876132819,275
1600,-86.88464249313701,-1.9925697795351451,196
1602,-88.83146232601119,2.642090734670764,172
1608,-88.09844283697447,4.30122476139685,215
1627,-88.15722102203956,-3.286002995246685,205
1629,-87.89548478014996,-0.4483841259643821,215
1643,-84.13868827642011,0.2843834701535486,198
1644,-85.81101604714729,0.5604273500086209,207
1667,-88.00400788049132,-3.0071737613558693,170
1672,-89.26184257970222,1.3390047273196903,316
1678,-83.79728585560166,-2.128473561722133,197
1715,-85.66362422553222,-5.230813249691412,388
1729,-85.9557735754256,-6.0655477787794485,276
1741,-79.93276361379019,-3.0207329475384697,291
1746,-86.56789037544752,-0.2686508433565605,55
1748,-85.96342133985797,1.2979040077260522,418
1755,-87.20305707819887,-3.839541336959528,287
1763,-83.8929438920715,1.3887995054712652,382
1810,-86.38214184481456,-0.1903125383458478,199
1813,-88.21783422039974,-1.6359213572659026,245
1815,-87.16024581165541,0.9724642747226038,191
1825,-88.94664538820903,-2.3724063565582894,199
1837,-90.24558918603664,-2.645621938416552,186
1849,-87.17217574046839,2.617851785009027,501
1854,-87.78813282197241,2.7285283481425315,300
1855,-87.6910421888185,3.361245115467803,232
1864,-90.34324594057313,1.2436460043951647,320
1876,-82.53986555762404,-2.072793934927603,314
1887,-82.06584338260024,1.141184031768269,282
1906,-86.95353620925374,1.7939854244034823,336
1908,-83.03676122926443,-1.9882767873584928,289
1931,-90.03909547809637,4.497030196847429,115
1937,-86.89962109904751,-0.2269247724044386,127
1942,-87.33055190060594,1.8823686514837263,298
1963,-89.79796948381187,-2.0777525196329054,280
1966,-90.08354596830428,1.504842434744049,373
1972,-88.84107458485737,3.4896369160432203,392
1984,-86.56472221695198,0.1415239590930931,237
2001,-88.7955765390852,-0.3796172189623391,273
2004,-87.94782397565817,-0.543569127266644,289
2005,-86.23248009550834,1.678148353206555,249
2008,-83.18769127821959,1.380803741597747,185
2024,-87.99106422958452,0.7545635983759983,244
2029,-83.25332633048889,-2.211696437241326,223
2038,-88.29920584251886,1.2529290074147772,327
2047,-90.10188878250064,-3.0068154484798977,285
2051,-87.10118960841896,-0.5466899002756362,237
2068,-90.45234163663063,-0.3774262590893745,202
2071,-87.81050929075622,-4.42548709353747,363
2072,-87.31941262519271,1.4175585410575122,257
2081,-89.22949346650215,-2.807300072513176,287
2082,-91.0396899353334,0.2233290972797142,256
2084,-69.52829515353386,0.5566701057822913,188
2099,-93.20704153962905,0.2541344706609346,414
2107,-91.38554376758144,5.224725222058707,249
2113,-81.59199670543352,-3.5150817920301,269
2138,-88.12830922888489,0.5699212654203738,285
2147,-84.0302616672179,1.9819989463770988,252
2158,-94.62673730302856,3.44248919246658,446
2161,-93.70667860244198,5.102427351840952,321
2171,-88.36826606830235,-1.9687283184329725,283
2184,-85.22749615669649,-2.159861768901025,268
2198,-86.37812055891865,-0.5952154003914938,224
2209,-85.09763233451505,-3.1615981909160498,252
2217,-80.9514141412324,0.2309791476468976,286
2232,-81.39412440708043,-2.171580776970444,433
2242,-86.72410924473103,0.7569302618689466,249
2259,-92.68416461108158,6.140452764109419,252
2261,-74.92838877241681,2.038482013572396,514
2269,-83.88547581790418,-0.5935681746307219,183
2270,-88.38824009085332,1.005214301151681,295
2274,-89.53213357128348,0.7485777407480371,195
2289,-88.17901264679936,-3.877811954893581,209
2310,-85.75960324307742,-0.555764008307732,77
2311,-91.8720808777768,1.3994073141037906,231
2344,-94.10057629744684,-0.2892493659833969,368
2349,-93.2128583777808,4.3845804193621225,312
2352,-80.94626249858727,1.4593121615832527,326
2367,-86.59909168835306,-0.1319495920366075,263
2368,-86.70476407836456,-3.336834562327913,205
2374,-83.09332312140374,-0.0169144720674184,261
2378,-91.93065996628675,1.8470278752022269,273
2397,-91.07694701394284,7.384745571221566,539
2398,-83.48486113220831,-0.9867516151379322,290
2428,-89.60042081291635,4.214935528935974,182
2433,-83.33414223738734,0.1660880110858406,181
2444,-80.84372099580656,-5.313217230202184,230
2483,-82.32917081828539,1.503135038796799,230
2484,-88.80831717877984,-0.0079024055401219,332
2502,-87.32635183189328,1.66821476714889,239
