factor,userId,U_value,abs_U,sign
1,125794,-0.011678421138315092,0.011678421138315092,-
1,133811,-0.011554826410469525,0.011554826410469525,-
1,4594,-0.011531542241807484,0.011531542241807484,-
1,106939,-0.011427255307084577,0.011427255307084577,-
1,119661,-0.011225469312088218,0.011225469312088218,-
1,86676,-0.011211665890837564,0.011211665890837564,-
1,34651,-0.01119531080806446,0.01119531080806446,-
1,54160,-0.011151266529699213,0.011151266529699213,-
1,4696,-0.011146391562308261,0.011146391562308261,-
1,82801,-0.011141425957249944,0.011141425957249944,-
2,92616,0.050925328080115684,0.050925328080115684,+
2,4191,-0.0501090897037244,0.0501090897037244,-
2,100134,-0.048277592949765316,0.048277592949765316,-
2,52116,-0.042726898363554616,0.042726898363554616,-
2,122980,0.04063346040543728,0.04063346040543728,+
2,42353,-0.03973823675879111,0.03973823675879111,-
2,65295,-0.039679670061903656,0.039679670061903656,-
2,84476,-0.03854135698512508,0.03854135698512508,-
2,131961,-0.038085813555720494,0.038085813555720494,-
2,73293,-0.037936119503066176,0.037936119503066176,-
3,25192,-0.062200030650899046,0.062200030650899046,-
3,40285,-0.05149112983432802,0.05149112983432802,-
3,92616,-0.0471755412952128,0.0471755412952128,-
3,20132,0.04582341217469429,0.04582341217469429,+
3,93024,-0.04271958391953998,0.04271958391953998,-
3,37253,-0.042453401852300995,0.042453401852300995,-
3,20028,-0.04121999680094494,0.04121999680094494,-
3,101110,0.041069560453450255,0.041069560453450255,+
3,103702,-0.04026924340802791,0.04026924340802791,-
3,80886,0.04015179841554443,0.04015179841554443,+
