user_id,course_index,course_title,rating,course_cluster
U00000,3840,Convolutional Neural Networks,5.0,6
U00000,2598,Code a 'Coming Soon' Landing Page in Bootstrap 4,1.2,4
U00000,2623,jQuery Crash Course: Learn the Essentials of jQuery Fast,1.1,4
U00000,4493,The Science of Well-Being,4.9,6
U00000,2668,Benefits of Thinking Mobile First Future of Website Design,1.1,4
U00000,2641,The Complete jQuery Course: From Beginner To Advanced!,1.0,4
U00000,3198,Accelerated ES6 JavaScript Training,1.1,4
U00000,3325,HTML and CSS for Beginners - Build a Website & Launch ONLINE,2.2,2
U00000,2830,Learn to Setup Websites from Scratch,1.2,4
U00000,3743,Arizona State University TESOL,4.9,6
U00000,1901,Acoustic Guitar Basics,1.1,4
U00001,2986,MongooseJS Essentials - Learn MongoDB for Node.js,1.3,4
U00001,3874,Data Science,4.5,3
U00001,4268,Mastering Data Analysis in Excel,4.2,3
U00001,3177,The Complete NodeJS Course: Build a Full Business Rating App,1.2,4
U00001,3874,Data Science,4.5,3
U00001,4200,"Introduction to Trading, Machine Learning & GCP",4.0,5
U00001,3204,Angular 4 (formerly Angular 2) - The Complete Guide,3.8,5
U00001,4551,iOS App Development with Swift,3.9,5
U00001,3807,Career Success,4.9,3
U00001,74,Learn to Trade for Profit:Trading with Japanese Candlesticks,1.0,4
U00001,4091,How To Create a Website in a Weekend! (Project-Centered Course),3.3,5
U00001,1531,Logo Design Essentials ,1.3,4
U00002,4174,Introduction to Game Development,4.8,6
U00002,4551,iOS App Development with Swift,3.9,5
U00002,4268,Mastering Data Analysis in Excel,4.7,3
U00002,4244,Machine Learning and Reinforcement Learning in Finance,3.2,5
U00002,4091,How To Create a Website in a Weekend! (Project-Centered Course),3.3,5
U00002,3889,Deep Learning,4.8,6
U00002,2827,Learn HTML5 Programming From Scratch,4.5,5
U00002,2827,Learn HTML5 Programming From Scratch,4.0,5
U00002,4200,"Introduction to Trading, Machine Learning & GCP",4.0,5
U00002,4046,Genomic Data Science,4.4,3
U00003,217,CFA Corporate Finance Level 2,1.0,0
U00003,4091,How To Create a Website in a Weekend! (Project-Centered Course),3.3,5
U00003,127,Elliott Wave -Forex Trading With The Elliott Wave Theory,1.0,0
U00003,2827,Learn HTML5 Programming From Scratch,4.5,5
U00003,4247,Machine Learning for Trading,3.9,5
U00003,4493,The Science of Well-Being,4.9,6
U00003,503,2 Easy Steps To Investment And Avoiding Traps,1.0,0
U00003,3561,Complete JavaScript Course for Beginners with Easy Examples,1.0,0
U00003,3608,Build A YouTube Downloader With C# And GitHub,1.0,0
U00003,125,Stock market Investing Encyclopedia: How to invest in stocks,1.0,0
U00004,19,Financial Statements Made Easy,1.1,4
U00004,4041,"GIS, Mapping, and Spatial Analysis",5.0,6
U00004,2664,Bootstrap unleash the power faster & easier web development,1.1,4
